polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
P5,naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.84 Å,25.0 Å,annealed at 110 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P5,naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.88 Å,25.6 Å,annealed at 170 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P10,naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.90 Å,24.7 Å,annealed at 110 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P10,naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.89 Å,25.0 Å,annealed at 170 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CF),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.79 Å,23.2 Å,annealed at 110 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CF),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.89 Å,22.2 Å,annealed at 110 °C,spin-coated,N/A,Toluene,N/A,N/A,Edge-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CB),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.77 Å,23.6 Å,annealed at 110 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CB),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.92 Å,22.4 Å,annealed at 110 °C,spin-coated,N/A,Toluene,N/A,N/A,Edge-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CF),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.74 Å,23.4 Å,annealed at 170 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CF),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.65 Å,21.7 Å,annealed at 170 °C,spin-coated,N/A,Toluene,N/A,N/A,Edge-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CB),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.79 Å,23.8 Å,annealed at 170 °C,spin-coated,N/A,Toluene,N/A,N/A,Face-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P20(CB),naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.84 Å,22.4 Å,annealed at 170 °C,spin-coated,N/A,Toluene,N/A,N/A,Edge-on,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P5,naphthalene diimide-bithiophene copolymer,2-octyldodecyl and butyl,alkyl,2-octyldodecyl and butyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,0.31 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,spin-coated,N/A,Toluene,N/A,bottom-gate/top-contact,N/A,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
P0,naphthalene diimide-bithiophene copolymer,2-octyldodecyl,alkyl,2-octyldodecyl,regulate π-order to π-interconnection,OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,0.06 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,spin-coated,N/A,Toluene,N/A,bottom-gate/top-contact,N/A,368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect/pdf/368_Adv Elect Materials - 2019 - Yang - Further Examination of Interconnection in Conjugated Polymers for Organic Field%E2%80%90Effect.txt,text_mining_GPT_extended
PQCDTB,quinacridone-alt-dithienylbenzothiadiazole,"N,N'-di(2-octyldodecyl) and octyloxy",alkyl; alkoxy,"N,N'-di(2-octyldodecyl); octyloxy","solubility, packing control",OPV,electronic,50 nm,N/A,49.8 kg/mol,96.0 kg/mol,1.92,N/A,N/A,N/A,N/A,1.6%,4.4 mA cm−2,0.76 V,47.5%,amorphous,3.7 Å,21.8 Å,1:1 P:PC61BM blend,spin-coating,o-dichlorobenzene (ODCB),toluene,N/A,ITO/PEDOT:PSS/active/BaF2/Ba/Al architecture,N/A,344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/pdf/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,text_mining_GPT_extended
PQCDTB,quinacridone-alt-dithienylbenzothiadiazole,"N,N'-di(2-octyldodecyl) and octyloxy",alkyl; alkoxy,"N,N'-di(2-octyldodecyl); octyloxy","solubility, packing control",OPV,electronic,50 nm,N/A,49.8 kg/mol,96.0 kg/mol,1.92,N/A,N/A,N/A,N/A,2.5%,5.6 mA cm−2,0.79 V,55.8%,amorphous,3.7 Å,21.8 Å,1:1 P:PC71BM blend,spin-coating,o-dichlorobenzene (ODCB),toluene,N/A,ITO/PEDOT:PSS/active/BaF2/Ba/Al architecture,microphase separation; small fibril-type domain,344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/pdf/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,text_mining_GPT_extended
PQCDTB,quinacridone-alt-dithienylbenzothiadiazole,"N,N'-di(2-octyldodecyl) and octyloxy",alkyl; alkoxy,"N,N'-di(2-octyldodecyl); octyloxy","solubility, packing control",OPV,electronic,50 nm,N/A,49.8 kg/mol,96.0 kg/mol,1.92,N/A,N/A,N/A,N/A,2.3%,5.5 mA cm−2,0.77 V,54.6%,amorphous,3.7 Å,21.8 Å,1:2 P:PC71BM blend,spin-coating,o-dichlorobenzene (ODCB),toluene,N/A,ITO/PEDOT:PSS/active/BaF2/Ba/Al architecture,large domain; large-size phase separation,344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/pdf/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,text_mining_GPT_extended
PCZDTB,carbazole-alt-dithienylbenzothiadiazole,octyloxy,alkoxy,octyloxy,N/A,OPV,electronic,50 nm,N/A,15.2 kg/mol,26.9 kg/mol,1.77,N/A,N/A,N/A,N/A,0.8%,3.3 mA cm−2,0.85 V,28.2%,N/A,4.3 Å,N/A,1:1 P:PC71BM blend,spin-coating,o-dichlorobenzene (ODCB),toluene,N/A,ITO/PEDOT:PSS/active/BaF2/Ba/Al architecture,"smooth morphology, no fibril domain",344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/pdf/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,text_mining_GPT_extended
PCZDTB,carbazole-alt-dithienylbenzothiadiazole,octyloxy,alkoxy,octyloxy,N/A,OPV,electronic,50 nm,N/A,15.2 kg/mol,26.9 kg/mol,1.77,N/A,N/A,N/A,N/A,2.5%,7.2 mA cm−2,0.85 V,40.1%,N/A,4.3 Å,N/A,1:4 P:PC71BM blend,spin-coating,o-dichlorobenzene (ODCB),toluene,N/A,ITO/PEDOT:PSS/active/BaF2/Ba/Al architecture,"smooth morphology, no fibril domain",344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics/pdf/344_conjugated-polymer-consisting-of-quinacridone-and-benzothiadiazole-as-donor-materials-for-organic-photovoltaics.txt,text_mining_GPT_extended
P1,BIID-BT-BIID,largest side chain volume and density,alkyl,long,increase solubility; reduce side chain density,OFET,electronic,N/A,N/A,38.4 kDa,N/A,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,N/A,N/A,annealed at 200 1C,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),extremely poor film-forming features,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P2,BIID-BT-BIID,lower side chain density and volume,alkyl,long,increase solubility; reduce side chain density,OFET,electronic,N/A,N/A,33.1 kDa,N/A,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,N/A,N/A,annealed at 200 1C,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),edge-on orientation,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P3,BAID-BT-BAID,bulky side chain volume and density,alkyl,long,increase solubility; packing control,OFET,electronic,N/A,N/A,39.5 kDa,N/A,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,comparatively poor crystal structure,N/A,N/A,annealed at 200 1C,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),face-on orientation,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P4,BAID-BT-BAID,lower side chain density and volume,alkyl,long,reduce side chain density; packing control,OFET,electronic,N/A,N/A,46.8 kDa,N/A,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,N/A,N/A,annealed at 200 1C,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),edge-on orientation,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P5,BAID-BT-BAID,branch point farther from backbone,alkyl,long,extend branching point positions; reduce side chain density,OFET,electronic,N/A,N/A,42.3 kDa,N/A,2.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,N/A,N/A,annealed at 200 1C,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),edge-on orientation,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P6 (PBAID3-2FBT),BAID-2FBT-BAID,reduced side chain density and volume,alkyl,long,reduce side chain density; extend branching point,OFET,electronic,N/A,N/A,40.6 kDa,N/A,2.6,1.31 cm2 V^-1 s^-1,1.31 cm2 V^-1 s^-1,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,3.56 Å,N/A,annealed at 200 1C,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),highly-balanced ambipolar transport,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P6 (PBAID3-2FBT),BAID-2FBT-BAID,reduced side chain density and volume,alkyl,long,reduce side chain density; extend branching point,OFET,electronic,N/A,N/A,40.6 kDa,N/A,2.6,1.68 cm2 V^-1 s^-1,1.37 cm2 V^-1 s^-1,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,3.56 Å,N/A,after thermal annealing,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),highly-balanced ambipolar transport,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
P6 (PBAID3-2FBT),BAID-2FBT-BAID,reduced side chain density and volume,alkyl,long,reduce side chain density; extend branching point,OFET,electronic,N/A,N/A,40.6 kDa,N/A,2.6,0.428 cm2 V^-1 s^-1,0.276 cm2 V^-1 s^-1,N/A,N/A,N/A,N/A,N/A,N/A,highly-ordered lamellae,3.56 Å,N/A,after 173 day storage in dry glassware,solution-processed,chloroform,chlorobenzene,N/A,bottom-gate/top-contact (BGTC),high air stability,380_c9tc02021g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/380_c9tc02021g/380_c9tc02021g/pdf/380_c9tc02021g.txt,text_mining_GPT_extended
IDTBT,indacenodithiophene-co-benzothiadiazole,alkyl side chains,alkyl,N/A,increase edge-on orientation,OFET,electronic,about 150 nm,200 μm,110 kDa,280 kDa,2.55,0.94 ± 0.07 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,near-amorphous,4.36 Å,16.97 Å,drop-cast; neat chloroform,drop-casting,chloroform,N/A,N/A,Bottom-Gate Top-Contact (BGTC),face-on orientation dominated,394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/pdf/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,text_mining_GPT_extended
IDTBT,indacenodithiophene-co-benzothiadiazole,alkyl side chains,alkyl,N/A,increase edge-on orientation,OFET,electronic,about 150 nm,200 μm,110 kDa,280 kDa,2.55,1.38 ± 0.06 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.33 Å,17.94 Å,drop-cast; 12C additive,drop-casting,chloroform,N/A,N/A,Bottom-Gate Top-Contact (BGTC),edge-on orientation 35%,394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/pdf/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,text_mining_GPT_extended
IDTBT,indacenodithiophene-co-benzothiadiazole,alkyl side chains,alkyl,N/A,increase edge-on orientation,OFET,electronic,about 150 nm,200 μm,110 kDa,280 kDa,2.55,2.04 ± 0.16 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.30 Å,18.47 Å,drop-cast; 14C additive,drop-casting,chloroform,N/A,N/A,Bottom-Gate Top-Contact (BGTC),edge-on orientation 37%,394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/pdf/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,text_mining_GPT_extended
IDTBT,indacenodithiophene-co-benzothiadiazole,alkyl side chains,alkyl,N/A,increase edge-on orientation,OFET,electronic,about 150 nm,200 μm,110 kDa,280 kDa,2.55,3.24 ± 0.19 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.19 Å,23.26 Å,drop-cast; 16C additive,drop-casting,chloroform,N/A,N/A,Bottom-Gate Top-Contact (BGTC),edge-on orientation 57%,394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals/pdf/394_increasing-the-content-of-edge-on-orientation-to-improve-the-hole-mobility-of-idtbt-film-by-the-van-der-waals.txt,text_mining_GPT_extended
