polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
P22,BTzOR-coupled with BTZI (ambipolar),dialkoxy (BTzOR),alkoxy,N/A,modulate FMOs (suppress),OFET,electronic,N/A,N/A,N/A,N/A,N/A,0.50 cm2/V·s,0.95 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P23,BTzOR-coupled with pyridine-flanked DPP,dialkoxy (BTzOR),alkoxy,N/A,modulate FMOs,OFET,electronic,N/A,N/A,N/A,N/A,N/A,0.017 cm2/V·s,0.011 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P24,BTzOR-FOI (imide-fluorenone) copolymer,dialkoxy (BTzOR),alkoxy,N/A,achieve n-type transport (suppress HOMO/LUMO),OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,0.11 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P25,BTzOR-FCNI (cyanated fluorenone) copolymer,dialkoxy (BTzOR),alkoxy,N/A,achieve n-type transport (suppress FMOs),OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,0.0016 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P32,BTOR-based homopolymer,dialkoxy (BTOR),alkoxy,N/A,N/A,OFET,electronic,N/A,N/A,N/A,N/A,N/A,0.00074 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P33,BTfOR-based homopolymer (difluoro on β-positions),dialkoxy (BTfOR),alkoxy,N/A,suppress FMOs and improve crystallinity (explicit),OFET,electronic,N/A,N/A,N/A,N/A,N/A,0.57 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P34,BTCNOR homopolymer (cyano-functionalized),cyano-functionalized,cyano,N/A,suppress FMOs (explicit),OFET,electronic,N/A,N/A,N/A,N/A,N/A,N/A,0.31 cm2/V·s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P35,BTCNOR-benzodithiophene copolymer,cyano-functionalized (BTCNOR),cyano,N/A,lower HOMO to increase Voc (explicit),OPV,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.06 %,8.76 mA cm−2,1.00 V,58 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P37,BTCNOR-benzodithiophene copolymer,cyano-functionalized (BTCNOR),cyano,N/A,lower HOMO to increase Voc (explicit),OPV,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.13 %,12.21 mA cm−2,0.92 V,64 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P38,TRTOR-phthalimide copolymer (3-alkyl-3'-alkoxy bithiophene),alkoxy and alkyl (TRTOR),alkoxy/alkyl,N/A,suppress HOMO (symmetry-breaking),OFET/OPV,electronic,N/A,N/A,N/A,N/A,N/A,0.18 cm2/V·s,N/A,N/A,N/A,5.62 %,11.81 mA cm−2,0.72 V,66.1 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P39,TRTOR-phthalimide copolymer,alkoxy and alkyl (TRTOR),alkoxy/alkyl,N/A,suppress HOMO (symmetry-breaking),OFET/OPV,electronic,N/A,N/A,N/A,N/A,N/A,0.043 cm2/V·s,N/A,N/A,N/A,6.31 %,12.50 mA cm−2,0.71 V,71.4 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P40,TRTOR-phthalimide copolymer,alkoxy and alkyl (TRTOR),alkoxy/alkyl,N/A,suppress HOMO (symmetry-breaking),OFET/OPV,electronic,N/A,N/A,N/A,N/A,N/A,0.030 cm2/V·s,N/A,N/A,N/A,6.17 %,11.81 mA cm−2,0.77 V,68.1 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P43,difluorinated benzothiadiazole-TRTOR copolymer,alkoxy and alkyl (TRTOR),alkoxy/alkyl,N/A,improve π-stacking and crystallinity (explicit),OFET/OPV,electronic,N/A,N/A,N/A,N/A,N/A,0.8 cm2/V·s,N/A,N/A,N/A,9.76 %,20.69 mA cm−2,0.66 V,71 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P44,TRTOR-BTZI copolymer (NIR-absorbing),alkoxy and alkyl (TRTOR),alkoxy/alkyl,N/A,perovskite defect passivation and NIR harvesting (explicit),OPV / IPBSC,electronic,N/A,N/A,N/A,N/A,N/A,0.51 cm2/V·s,0.86 cm2/V·s,N/A,N/A,24.27 %,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,efficient passivating effect,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P45,TRTOR-based polymer (ester-free),alkoxy and alkyl,alkoxy/alkyl,N/A,N/A,OPV,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.11 %,16.34 mA cm−2,0.63 V,68.6 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P46,TETOR-based polymer (esterified TRTOR),alkoxy and ester,alkoxy/ester,N/A,increase miscibility with ester-functionalized acceptor (explicit),OPV,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.08 %,18.30 mA cm−2,0.76 V,72.4 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,better blend film morphology,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P48,TORTRy-based polymer (alkynyl + alkoxy),alkynyl and alkoxy,alkynyl/alkoxy,N/A,reduce steric hindrance and planarize backbone (explicit),OPV,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.60 %,15.08 mA cm−2,0.75 V,58.3 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
P52,"dithieno[3,2-b:2′,3′-d]pyran (DTP)-based copolymer",ring-fused TRTOR derivative,N/A,N/A,extend conjugation (explicit),OPV,electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.0 %,18.0 mA cm−2,0.698 V,63.4 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
S1,BTCNOR-cored small-molecule HTM control (no cyano),BTCNOR-cored HTM control S1,alkoxy (control),N/A,N/A,PVSC (inverted),electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.40 %,21.64 mA cm−2,1.06 V,80.1 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
S2,BTCNOR-cored small-molecule HTM control (without cyano?),control HTM S2 (without cyano),N/A,N/A,N/A,PVSC (inverted),electronic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.27 %,22.33 mA cm−2,1.09 V,83.4 %,N/A,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,N/A,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
S3,BTCNOR-cored small-molecule HTM (cyano-functionalized),BTCNOR-cored HTM S3,cyano and alkoxy,N/A,passivate perovskite surface defects (explicit); match valence band,PVSC (inverted),electronic,N/A,N/A,N/A,N/A,N/A,1.8 × 10−4 cm2/V·s,N/A,N/A,N/A,21.10 %,22.84 mA cm−2,1.10 V,84.0 %,crystalline,N/A,N/A,N/A,solution-processed,N/A,N/A,N/A,N/A,substantial ordering and film crystallinity,473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric/pdf/473_alkoxy-functionalized-bithiophene-thiazoles-versatile-building-blocks-for-high-performance-organic-and-polymeric.txt,text_mining_GPT_extended
PNDTI-BBT-DT,NDTI-BBT,2-decyltetradecyl,alkyl,2-decyltetradecyl,solubilizing,OFET,electronic,N/A,40 μm,16.8 kDa,N/A,2.52,N/A,0.096 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,2.30 nm,annealed at 270 °C,spin-coated,chlorobenzene,toluene,N/A,bottom-gate/top-contact,fairly amorphous nature,435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/pdf/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,text_mining_GPT_extended
PNDTI-BBT-DP,NDTI-BBT,3-decylpentadecyl,alkyl,3-decylpentadecyl,solubilizing,OFET,electronic,N/A,40 μm,20.5 kDa,N/A,2.53,N/A,0.31 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,ca. 0.4 nm,2.65 nm,annealed at 300 °C,spin-coated,chlorobenzene,toluene,N/A,bottom-gate/top-contact,edge-on structure,435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/pdf/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,text_mining_GPT_extended
PNDTI-BBT-DT,NDTI-BBT,2-decyltetradecyl,alkyl,2-decyltetradecyl,solubilizing,Thermoelectric,electronic,N/A,N/A,16.8 kDa,N/A,2.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,2.73 nm,47 mol% N-DMBI dopant,spin-coated or drop-cast; annealed 120 °C,chloroform,toluene,N/A,out-of-plane XRD,"disordered, amorphous-like structure",435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/pdf/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,text_mining_GPT_extended
PNDTI-BBT-DP,NDTI-BBT,3-decylpentadecyl,alkyl,3-decylpentadecyl,solubilizing,Thermoelectric,electronic,N/A,N/A,20.5 kDa,N/A,2.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,ca. 0.4 nm,2.65 nm,up to 47 mol% N-DMBI dopant,spin-coated or drop-cast; annealed 120 °C,chloroform,toluene,N/A,out-of-plane XRD,maintained at 2.65 nm,435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors/pdf/435_naphthodithiophenediimide-benzobisthiadiazole-based-polymers-versatile-n-type-materials-for-field-effect-transistors.txt,text_mining_GPT_extended
G2-DMP,"3,4-propylenedioxythiophene (ProDOT) alternating with DMP comonomer",G2 (diglyme),glyme,EG2,aqueous compatibility and ion uptake,OECT,mixed ionic-electronic,40−50 nm,40 to 940 nm,13.4 kg mol−1,N/A,1.6,0.32 ± 0.05 cm2 V−1 s−1,N/A,227 ± 30 F cm−3,73 ± 2 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,amorphous,≈4.0 Å,increases ∼1−2 Å per EO unit,degassed 0.1 M NaCl/H2O,spin coating,chloroform,N/A,0.1 M NaCl/H2O,planar pOECT rectangular channel architecture,film delamination,468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/pdf/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,text_mining_GPT_extended
G3-DMP,"3,4-propylenedioxythiophene (ProDOT) alternating with DMP comonomer",G3 (triglyme),glyme,EG3,aqueous compatibility and ion uptake,OECT,mixed ionic-electronic,40−50 nm,40 to 940 nm,N/A,N/A,N/A,0.26 ± 0.02 cm2 V−1 s−1,N/A,214 ± 4 F cm−3,57 ± 3 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,amorphous,≈4.0 Å,increases ∼1−2 Å per EO unit,degassed 0.1 M NaCl/H2O,spin coating,chloroform,N/A,0.1 M NaCl/H2O,planar pOECT rectangular channel architecture,>80% transconductance retention,468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/pdf/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,text_mining_GPT_extended
G4-DMP,"3,4-propylenedioxythiophene (ProDOT) alternating with DMP comonomer",G4 (tetraglyme),glyme,EG4,aqueous compatibility and ion uptake,OECT,mixed ionic-electronic,40−50 nm,40 to 940 nm,66 kg mol−1,N/A,N/A,0.94 ± 0.09 cm2 V−1 s−1,N/A,213 ± 11 F cm−3,200 ± 8 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,amorphous,≈4.0 Å,increases ∼1−2 Å per EO unit,degassed 0.1 M NaCl/H2O,spin coating,chloroform,N/A,0.1 M NaCl/H2O,planar pOECT rectangular channel architecture,fastest (de)doping kinetics,468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/pdf/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,text_mining_GPT_extended
OH-DMP,"3,4-propylenedioxythiophene (ProDOT) alternating with DMP comonomer",hydroxy (OH) side chains,hydroxy,2 (hydroxy groups),facilitate doping and high C*,OECT,mixed ionic-electronic,85 to 259 nm,N/A,N/A,N/A,N/A,N/A,N/A,106 ± 7 F cm−3,N/A,N/A,N/A,N/A,N/A,amorphous,≈4.0 Å,N/A,degassed 0.1 M NaCl/H2O,blade coating then hydrolysis,chloroform,N/A,0.1 M NaCl/H2O,three-electrode EIS cell,film delamination,468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical/pdf/468_effects-of-side-chain-length-and-functionality-on-polar-poly%28dioxythiophene%29s-for-saline-based-organic-electrochemical.txt,text_mining_GPT_extended
